y,x
0.65735,0
0.65735,80
0.65735,160
0.65735,240
0.65735,320
0.65735,400
0.65735,480
0.65735,560
0.65735,640
0.65735,720
0.65735,800
0.65735,880
0.65735,960
0.65735,1040
0.65735,1120
0.65735,1200
0.65735,1280
0.65735,1360
0.65735,1440
0.65735,1520
0.65735,1600
0.65735,1680
0.65735,1760
0.65735,1840
0.65735,1920
0.65735,2000
0.65735,2080
0.65735,2160
0.65735,2240
0.65735,2320
0.65735,2400
0.65735,2480
0.65735,2560
0.65735,2640
0.65735,2720
0.65735,2800
0.65735,2880
0.65735,2960
0.65735,3040
0.65735,3120
0.65735,3200
0.65735,3280
0.65735,3360
0.65735,3440
0.65735,3520
0.65735,3600
0.65735,3680
0.65735,3760
0.65735,3840
0.65735,3920
0.65735,4000
0.65735,4080
0.65735,4160
0.65735,4240
0.65735,4320
0.65735,4400
0.65735,4480
0.65735,4560
0.65735,4640
0.65735,4720
0.65735,4800
0.65735,4880
0.65735,4960
0.65735,5040
0.65735,5120
0.65735,5200
0.65735,5280
0.65735,5360
0.65735,5440
0.65735,5520
0.65735,5600
0.65735,5680
0.65735,5760
0.65735,5840
0.65735,5920
0.65735,6000
0.65735,6080
0.65735,6160
0.65735,6240
0.65735,6320
0.65735,6400
0.65735,6480
0.65735,6560
0.65735,6640
0.65735,6720
0.65735,6800
0.65735,6880
0.65735,6960
0.65735,7040
0.65735,7120
0.65735,7200
0.65735,7280
0.65735,7360
0.65735,7440
0.65735,7520
0.65735,7600
0.65735,7680
0.65735,7760
0.65735,7840
0.65735,7920
0.65735,8000
0.65735,8080
0.65735,8160
0.65735,8240
0.65735,8320
0.65735,8400
0.65735,8480
0.65735,8560
0.65735,8640
0.65735,8720
0.65735,8800
0.65735,8880
0.65735,8960
0.65735,9040
0.65735,9120
0.65735,9200
0.65735,9280
0.65735,9360
0.65735,9440
0.65735,9520
0.65735,9600
0.65735,9680
0.65735,9760
0.65735,9840
0.65735,9920
0.65735,10000
